# MIST version number  = 1.2     
# MESA revision number =     7503
# photometric system   = UBV(RI)c, 2MASS, Kepler, Hipparcos, Gaia (Vega)                 
# --------------------------------------------------------------------------------------
#  Yinit        Zinit   [Fe/H]   [a/Fe]  v/vcrit                                        
# 0.2492  1.19306E-04    -2.20     0.00     0.40
# --------------------------------------------------------------------------------------
# number of isochrones =     1
# extinction:   Av, Rv =  0.000 3.100
# --------------------------------------------------------------------------------------
# number of EEPs, cols =   556   37
#   1                               2                               3                               4                               5                               6                               7                               8                               9                  10                  11                  12                  13                  14                  15                  16                  17                  18                  19                  20                  21                  22                  23                  24                  25                  26                  27                  28                  29                  30                  31                  32                  33                  34                  35                  36                  37
# EEP                isochrone_age_yr                    initial_mass                       star_mass                        log_Teff                           log_R                           log_g                           log_L                     [Fe/H]_init              [Fe/H]           Bessell_U           Bessell_B           Bessell_V           Bessell_R           Bessell_I             2MASS_J             2MASS_H            2MASS_Ks           Kepler_Kp          Kepler_D51        Hipparcos_Hp             Tycho_B             Tycho_V       Gaia_G_DR2Rev      Gaia_BP_DR2Rev      Gaia_RP_DR2Rev          Gaia_G_MAW        Gaia_BP_MAWb        Gaia_BP_MAWf         Gaia_RP_MAW                TESS         Gaia_G_EDR3        Gaia_BP_EDR3        Gaia_RP_EDR3     Gemini_NIRI_BrG    WIYN_NESSI_NB832               phase
  263         1.0079181246047623E+001         1.3812128454425271E-001         1.3811888159414420E-001         3.5845259844990580E+000        -8.3295886228712379E-001         5.2383128880663108E+000        -2.3731680909422446E+000        -2.2000000000000002E+000           -2.275283           14.152929           12.975277           11.581583           10.726773            9.982221            9.020234            8.377001            8.179357           10.947939           12.258816           11.660507           13.350066           11.757306           11.004018           11.834909           10.135075           11.000463           11.821328           11.868771           10.132016           10.124931           11.005864           11.823594           10.121496            8.125354            9.843876            0.000000
  264         1.0079181246047623E+001         1.4159634393802215E-001         1.4159376560392495E-001         3.5874598448333694E+000        -8.2106459828458611E-001         5.2267625597122702E+000        -2.3376441215999231E+000        -2.2000000000000002E+000           -2.275007           13.984411           12.845854           11.472048           10.628881            9.893126            8.941248            8.304300            8.108721           10.850073           12.128483           11.553783           13.211412           11.645378           10.906905           11.725329           10.044561           10.903203           11.712055           11.759178           10.041539           10.034951           10.908650           11.714221           10.031119            8.054947            9.755580            0.000000
  265         1.0079181246047623E+001         1.4526925369981142E-001         1.4526648640819251E-001         3.5903291445332606E+000        -8.0887774083230690E-001         5.2149649963107692E+000        -2.3017932078957997E+000        -2.2000000000000002E+000           -2.274729           13.817079           12.716328           11.362031           10.530302            9.803121            8.861119            8.230316            8.036793           10.751446           11.997985           11.446486           13.072979           11.532979           10.808995           11.615254            9.953143           10.805151           11.602278           11.649081            9.950159            9.944080           10.810645           11.604355            9.939840            7.983222            9.666447            0.000000
  266         1.0079181246047623E+001         1.5018119264040525E-001         1.5017821333141335E-001         3.5928782543559401E+000        -7.9540801930900584E-001         5.2025515764795092E+000        -2.2646573255584785E+000        -2.2000000000000002E+000           -2.274496           13.655241           12.587957           11.251083           10.429571            9.709924            8.776680            8.151396            7.959679           10.650579           11.868607           11.337919           12.936745           11.419884           10.708735           11.504238            9.858682           10.704768           11.491526           11.538030            9.855733            9.850121           10.710302           11.493530            9.845507            7.906235            9.574090            0.000000
  267         1.0079181246047623E+001         1.5551835315156803E-001         1.5551513419917468E-001         3.5955400602924725E+000        -7.8110860609971788E-001         5.1894536713876906E+000        -2.2254112753937747E+000        -2.2000000000000002E+000           -2.274263           13.485368           12.452820           11.134023           10.323160            9.611353            8.687285            8.067812            7.877940           10.544010           11.732406           11.223326           12.793507           11.300580           10.602791           11.387094            9.758800           10.598694           11.374659           11.420846            9.755886            9.750771           10.604271           11.376588            9.745760            7.824664            9.476464            0.000000
  268         1.0079181246047623E+001         1.6228119732073595E-001         1.6227771160161344E-001         3.5977158926817996E+000        -7.6536170052444041E-001         5.1756394540137247E+000        -2.1852141346859106E+000        -2.2000000000000002E+000           -2.274103           13.326032           12.322100           11.018147           10.216041            9.510532            8.593954            7.979298            7.790845           10.436673           11.600629           11.109439           12.656160           11.182858           10.495931           11.271135            9.656916           10.491733           11.258926           11.304839            9.654032            9.649326           10.497341           11.260801            9.643987            7.737762            9.376453            0.000000
  269         1.0079181246047623E+001         1.6971232143670512E-001         1.6970854555832382E-001         3.5997150070288360E+000        -7.4914770724962498E-001         5.1617798265532979E+000        -2.1447896907481354E+000        -2.2000000000000002E+000           -2.273998           13.170942           12.193388           10.902994           10.108927            9.409163            8.499485            7.889295            7.702126           10.329341           11.470892           10.996103           12.521399           11.066017           10.389026           11.155898            9.554585           10.384735           11.143901           11.189555            9.551728            9.547400           10.390374           11.145726            9.541759            7.649222            9.275860            0.000000
  270         1.0079181246047623E+001         1.7731532931952187E-001         1.7731123356019352E-001         3.6017378680125152E+000        -7.3250775883968799E-001         5.1474977619964557E+000        -2.1034183499935430E+000        -2.2000000000000002E+000           -2.273911           13.013026           12.062166           10.785335            9.999362            9.305390            8.402726            7.797078            7.611197           10.219564           11.338650           10.880274           12.384122           10.946669           10.279680           11.038142            9.449862           10.275295           11.026363           11.071754            9.447033            9.443083           10.280964           11.028135            9.437138            7.558476            9.172902            0.000000
  271         1.0079181246047623E+001         1.8488844812757760E-001         1.8488401213157968E-001         3.6037077905651942E+000        -7.1597838633167277E-001         5.1332706472786018E+000        -2.0624799147667963E+000        -2.2000000000000002E+000           -2.273845           12.857830           11.932974           10.669179            9.891044            9.202689            8.306882            7.705670            7.521029           10.111052           11.208488           10.765889           12.249100           10.828889           10.171582           10.921881            9.346258           10.167107           10.910317           10.955451            9.343454            9.339870           10.172802           10.912035            9.333632            7.468496            9.071015            0.000000
  272         1.0079181246047623E+001         1.9258512927644911E-001         1.9258035019337427E-001         3.6053996931279491E+000        -7.0037865664044552E-001         5.1200509110213313E+000        -2.0245128451333225E+000        -2.2000000000000002E+000           -2.273810           12.717588           11.815172           10.562467            9.791042            9.107476            8.217568            7.620182            7.436593           10.010876           11.089836           10.660687           12.126326           10.720797           10.071756           10.815068            9.250290           10.067203           10.803693           10.848601            9.247509            9.244234           10.072922           10.805364            9.237747            7.384222            8.976515            0.000000
  273         1.0079181246047623E+001         2.0043918481293921E-001         2.0043403145361574E-001         3.6070969109009505E+000        -6.8449808545397461E-001         5.1066017750511810E+000        -1.9859628316683762E+000        -2.2000000000000002E+000           -2.273797           12.575956           11.696041           10.454309            9.689576            9.010799            8.126823            7.533272            7.350732            9.909246           10.969894           10.554036           12.002262           10.611275            9.970476           10.706800            9.152874            9.965844           10.695617           10.740297            9.150113            9.147145            9.971584           10.697237            9.140412            7.298525            8.880559            0.000000
  274         1.0079181246047623E+001         2.0878382610892360E-001         2.0877830644595735E-001         3.6083508509272013E+000        -6.6976670510917391E-001         5.0946165560430288E+000        -1.9514843108737727E+000        -2.2000000000000002E+000           -2.273812           12.456223           11.593130           10.359490            9.599720            8.924436            8.044846            7.454119            7.272340            9.819243           10.866288           10.460327           11.895693           10.515453            9.880718           10.611894            9.065978            9.876031           10.600856           10.645363            9.063232            9.060486            9.881787           10.602440            9.053576            7.220256            8.794730            0.000000
  275         1.0079181246047623E+001         2.1717960544374537E-001         2.1717370596143942E-001         3.6094980916538413E+000        -6.5545175645141263E-001         5.0831389723330389E+000        -1.9182654506516890E+000        -2.2000000000000002E+000           -2.273847           12.342528           11.494892           10.268590            9.513348            8.841249            7.965675            7.377514            7.196435            9.732738           10.767414           10.370439           11.794128           10.423645            9.794436           10.520909            8.982313            9.789697           10.510005           10.554352            8.979581            8.977035            9.795467           10.511556            8.969963            7.144465            8.712032            0.000000
  276         1.0079181246047623E+001         2.2569619914935440E-001         2.2568991581777334E-001         3.6104522112024382E+000        -6.4169109459885254E-001         5.0723505938444742E+000        -1.8869276487521811E+000        -2.2000000000000002E+000           -2.273896           12.238580           11.403974           10.183758            9.432294            8.762825            7.890582            7.304544            7.124047            9.651564           10.675911           10.286449           11.700435           10.338063            9.713441           10.436007            8.903500            9.708659           10.425217           10.469425            8.900778            8.898394            9.714440           10.426738            8.891192            7.072170            8.634012            0.000000
  277         1.0079181246047623E+001         2.3427152987012156E-001         2.3426485144009224E-001         3.6113357736977156E+000        -6.2841773005705459E-001         5.0621600045931627E+000        -1.8568466696874757E+000        -2.2000000000000002E+000           -2.273953           12.139718           11.317195           10.102568            9.354592            8.687555            7.818393            7.234305            7.054351            9.573752           10.588604           10.206036           11.611104           10.256183            9.635795           10.354747            8.827873            9.630975           10.344063           10.388144            8.825162            8.822927            9.636766           10.345557            8.815607            7.002560            8.559115            0.000000
  278         1.0079181246047623E+001         2.4222727459402360E-001         2.4222021736929461E-001         3.6121479623563921E+000        -6.1643393652081468E-001         5.0530574774160470E+000        -1.8296303279802903E+000        -2.2000000000000002E+000           -2.274009           12.050055           11.238580           10.029033            9.284245            8.619448            7.753115            7.170799            6.991354            9.503312           10.509543           10.133210           11.530172           10.182020            9.565508           10.281143            8.759442            9.560652           10.270557           10.314522            8.756740            8.754640            9.566453           10.272026            8.747211            6.939642            8.491347            0.000000
  279         1.0079181246047623E+001         2.5002570060169960E-001         2.5001825515704046E-001         3.6129396464206298E+000        -6.0485388385623240E-001         5.0443531849448613E+000        -1.8033034863941733E+000        -2.2000000000000002E+000           -2.274073           11.963278           11.162519            9.957873            9.216175            8.553563            7.689986            7.109376            6.930437            9.435159           10.433085           10.062737           11.451880           10.110254            9.497505           10.209912            8.693246            9.492614           10.199424           10.243276            8.690552            8.688582            9.498423           10.200867            8.681049            6.878801            8.425791            0.000000
  280         1.0079181246047623E+001         2.5697276727740248E-001         2.5696499380010779E-001         3.6136108087308907E+000        -5.9572088256553857E-001         5.0377784141225304E+000        -1.7823528345717445E+000        -2.2000000000000002E+000           -2.274099           11.893342           11.101520            9.900966            9.161860            8.501108            7.639868            7.060687            6.882190            9.380782           10.371819           10.006405           11.389023           10.052839            9.443259           10.152939            8.640528            9.438337           10.142531           10.186291            8.637840            8.635982            9.444155           10.143951            8.628362            6.830619            8.373612            0.000000
  281         1.0079181246047623E+001         2.6362839778587455E-001         2.6362029811471555E-001         3.6142542524120946E+000        -5.8698440829208676E-001         5.0315152512062475E+000        -1.7623061113000236E+000        -2.2000000000000002E+000           -2.274132           11.826460           11.043174            9.846518            9.109885            8.450920            7.591914            7.014090            6.836022            9.328753           10.313240            9.952503           11.328914            9.997908            9.391354           10.098423            8.590088            9.386404           10.088095           10.131764            8.587407            8.585653            9.392228           10.089493            8.577949            6.784513            8.323684            0.000000
  282         1.0079181246047623E+001         2.6993219015935305E-001         2.6992378866515965E-001         3.6148420352059363E+000        -5.7923430461586811E-001         5.0261062651055814E+000        -1.7444547727722179E+000        -2.2000000000000002E+000           -2.274151           11.766632           10.991070            9.797939            9.063554            8.406219            7.549253            6.972654            6.794986            9.282372           10.260959            9.904419           11.275219            9.948891            9.345088           10.049779            8.545158            9.340112           10.039523           10.083112            8.542484            8.540825            9.345942           10.040900            8.533045            6.743533            8.279219            0.000000
  283         1.0079181246047623E+001         2.7622947842219070E-001         2.7622076996292411E-001         3.6154264334251560E+000        -5.7164093022842899E-001         5.0208918712370902E+000        -1.7269304311204627E+000        -2.2000000000000002E+000           -2.274174           11.707785           10.939857            9.750208            9.018044            8.362335            7.507391            6.932000            6.754736            9.236816           10.209596            9.857174           11.222440            9.900724            9.299647           10.001978            8.501046            9.294644            9.991794           10.035303            8.498378            8.496813            9.300481            9.993151            8.488958            6.703339            8.235565            0.000000
  284         1.0079181246047623E+001         2.8236718712151460E-001         2.8235817259560048E-001         3.6159963844974623E+000        -5.6426582946900372E-001         5.0158613356611479E+000        -1.7099004253123864E+000        -2.2000000000000002E+000           -2.274207           11.650620           10.890100            9.703823            8.973819            8.319691            7.466715            6.892488            6.715624            9.192545           10.159710            9.811258           11.171168            9.853919            9.255486            9.955522            8.458181            9.250459            9.945409            9.988839            8.455519            8.454044            9.256301            9.946745            8.446117            6.664279            8.193143            0.000000
